"location","hits","keyword","geo","gprop","end.date","start.date"
"French Southern Territories","","tick paralysis","world","web",2018-04-13,2018-04-06
"Antigua & Barbuda","","tick paralysis","world","web",2018-04-13,2018-04-06
"Austria","","tick paralysis","world","web",2018-04-13,2018-04-06
"Azerbaijan","","tick paralysis","world","web",2018-04-13,2018-04-06
"Burundi","","tick paralysis","world","web",2018-04-13,2018-04-06
"Belgium","","tick paralysis","world","web",2018-04-13,2018-04-06
"Benin","","tick paralysis","world","web",2018-04-13,2018-04-06
"Caribbean Netherlands","","tick paralysis","world","web",2018-04-13,2018-04-06
"Burkina Faso","","tick paralysis","world","web",2018-04-13,2018-04-06
"Bulgaria","","tick paralysis","world","web",2018-04-13,2018-04-06
"Bahrain","","tick paralysis","world","web",2018-04-13,2018-04-06
"Bahamas","","tick paralysis","world","web",2018-04-13,2018-04-06
"Bosnia & Herzegovina","","tick paralysis","world","web",2018-04-13,2018-04-06
"St. Barthélemy","","tick paralysis","world","web",2018-04-13,2018-04-06
"Belize","","tick paralysis","world","web",2018-04-13,2018-04-06
"Bermuda","","tick paralysis","world","web",2018-04-13,2018-04-06
"Bolivia","","tick paralysis","world","web",2018-04-13,2018-04-06
"Barbados","","tick paralysis","world","web",2018-04-13,2018-04-06
"Brunei","","tick paralysis","world","web",2018-04-13,2018-04-06
"Bhutan","","tick paralysis","world","web",2018-04-13,2018-04-06
"Bouvet Island","","tick paralysis","world","web",2018-04-13,2018-04-06
"Central African Republic","","tick paralysis","world","web",2018-04-13,2018-04-06
"Cocos (Keeling) Islands","","tick paralysis","world","web",2018-04-13,2018-04-06
"Switzerland","","tick paralysis","world","web",2018-04-13,2018-04-06
"China","","tick paralysis","world","web",2018-04-13,2018-04-06
"Côte d’Ivoire","","tick paralysis","world","web",2018-04-13,2018-04-06
"Cameroon","","tick paralysis","world","web",2018-04-13,2018-04-06
"Congo - Kinshasa","","tick paralysis","world","web",2018-04-13,2018-04-06
"Congo - Brazzaville","","tick paralysis","world","web",2018-04-13,2018-04-06
"Cook Islands","","tick paralysis","world","web",2018-04-13,2018-04-06
"Comoros","","tick paralysis","world","web",2018-04-13,2018-04-06
"Cape Verde","","tick paralysis","world","web",2018-04-13,2018-04-06
"Cuba","","tick paralysis","world","web",2018-04-13,2018-04-06
"Curaçao","","tick paralysis","world","web",2018-04-13,2018-04-06
"Christmas Island","","tick paralysis","world","web",2018-04-13,2018-04-06
"Cayman Islands","","tick paralysis","world","web",2018-04-13,2018-04-06
"Cyprus","","tick paralysis","world","web",2018-04-13,2018-04-06
"Czechia","","tick paralysis","world","web",2018-04-13,2018-04-06
